喜欢打篮球的男生喜欢什么样的女生	爱打篮球的男生喜欢什么样的女生	1
我手机丢了，我想换个手机	我想买个新手机，求推荐	1
大家觉得她好看吗	大家觉得跑男好看吗？	0
求秋色之空漫画全集	求秋色之空全集漫画	1
晚上睡觉带着耳机听音乐有什么害处吗？	孕妇可以戴耳机听音乐吗?	0
学日语软件手机上的	手机学日语的软件	1
打印机和电脑怎样连接，该如何设置	如何把带无线的电脑连接到打印机上	0
侠盗飞车罪恶都市怎样改车	侠盗飞车罪恶都市怎么改车	1
什么花一年四季都开	什么花一年四季都是开的	1
看图猜一电影名	看图猜电影！	1
这上面写的是什么？	胃上面是什么	0
建议您重新注册，辛苦您了。	可以的，您注销成功后，可以重新注册的，辛苦您了。	0
小草有什么的特点,可以象征什么?	小草有什么特点可以象征什么	1
校验失败了，	您好，您还是访客状态呢	0
尼玛什么意思	尼玛啊是什么意思？	0
自找苦吃的地方是哪儿？	自找苦吃的地方是哪儿	1
尾号4位多少	尾号是多少后4位	1
谢文东能在哪里看	谢文东在哪里看	1
新概念英语第二册练习册41课答案	新概念英语第二册练习册21练习答案	0
过年送礼送什么好	过年前什么时候送礼？	0
壮丁是什么生肖	欲钱买壮丁指的是什么生肖？	0
这是什么蔬菜啊	这是什么蔬菜呀？	1
最近有什么好电视剧看？	现在看电影都是有哪些号网站啊	0
性与爱有什么区别？	性与爱有什么区别	1
网上卖的烟有真的吗？	网上帮你刷钻是真的吗	0
什么印象	什么印象了	1
面相上看，耳垂上有痣代表什么？	男性耳朵上长痣代表什么（耳垂这里）	0
男生喜欢女生送他什么礼物呢	男生最喜欢女生送什么礼物	1
如何快速忘记一个人	怎样能快速忘记一个人	1
周杰伦女友是谁	周杰伦的现女友是谁	1
月初和月末是会出现这个延迟的情况的，小二建议您耐心等待一下	因周六周日不属于工作日所以建议您耐心等待	0
支付宝手机支付密码是什么	支付宝里手机支付密码是什么	1
关于网页设计的问题	关于网页设计的一个问题	1
有没有专门为房地产行业做咨询的公司啊？	国内咨询公司中哪家的房地产咨询做的比较好啊？	0
这系列的漫画叫什么名字	这个系列的漫画叫什么名字？	1
无线路由器怎么无线上网	无线上网卡和无线路由器怎么用	0
左眼皮跳是什么原因	女的右眼皮跳是什么原因啊？	0
部落战争怎么更新？	部落战争，怎样更新	1
这个空气净化器有用吗？	空气刘海是怎么样的	0
看图猜成语，这是什么？	【看图猜成语】请问这个是？	1
找工作网站哪个好？	找工作哪个网站好	1
问发型，男生。	关于男生发型	1
安卓手机怎么设置来电自动接听	三星手机怎么自动接听	1
部落冲突游戏怎么找回	部落冲突重置游戏	0
怎么才能下载穿越火线	穿越火线的挂怎么下载	0
你点击详情	您点击详情	1
我要找一个人怎么找	我要找一个人	1
中国四大古城是哪些？	中国的四大古城有哪些?5	1
脸上痣太多怎么办？	脸上痣太多怎么办	1
福州哪家装修公司好	转运公司哪家好	0
请问下这是什么表情	请问这个表情叫什么？	1
大限什么意思	微淘什么意思	0
名人理财小故事几则	投资理财的小故事	0
奔跑吧兄弟里的	奔跑吧兄弟主题曲！	0
宝盖头的字与什么有关	河水像什么有关的字	0
下雪了，房子像什么？	下雪了，房子像什么	1
一本官场小说的名字？	我想找一本小说名字叫什么骨	0
求恋爱棱镜漫画	求恋爱棱镜的漫画。	1
类似于植物大战僵尸的游戏有哪些	有哪些游戏和植物大战僵尸类似	1
这是什么动画啊	这是什么动画，叫什么	1
日本爱情吻戏动漫	哪部韩剧吻戏最多	0
哪位亲有东方神起塞班岛的写真辑啊？	这张图是东方神起在哪里的写真	0
石家庄天气如何？	石家庄天气怎样	1
中国哪里的地方最美	中国最美丽的地方再那里	1
